,text,location,id,giai_tri,luu_tru,nha_hang,an_uong,van_chuyen,mua_sam
4417,Phòng ốc ở đây rộng rãi Công ty mình rất hay tổ chức các bữa tiệc tại đây. Vào hát và gọi đồ ăn mang vào ăn luôn Nhân viên phục vụ nhiệt tình và nhẹ nhàng. Có mấy lần do uống quá chén mà mấy anh công ty mình phun đầy ra sàn nhưng nhân viên vẫn không tỏ thái độ khó chịu và không thu phí dọn dẹp như các nơi khác. Chất lượng âm thanh tương đối tốt,4_all-topic.txt,4454,0,0,0,0,0,0
4418,"Chủ quán dễ thương lắm. Nhà cô có vườn dâu nữa, mà hỏi ra mới biết chỉ có người quen mới dẫn lên cho hái. Muốn hái cũng phải gọi hẹn trước để không trùng giờ với mối đến lấy. Bánh bèo ăn cũng bình thường, nước mắm hơi lạt, được cái da heo chiên giòn ăn rất ngon.",4_all-topic.txt,4455,0,0,0,0,0,0
4419,"Hôm nay đi hội sách cv Thống Nhất nè , cv siêu rộng và nhiều cây xanh, đi hết các gian hàng sách vẫn thấy 1 khoảng sân rất rộng để mọi người tập thể dục và chỗ chơi cho các em nhỏ, hàng ăn vặt xung quanh cũng khá nhiều nữa. Mỗi tội hơi xa chỗ mình tí nên không có hội sách chắc mình cũng ngại đến ",4_all-topic.txt,4456,0,0,0,0,0,0
4420,Ko gian ngoài trời thoáng mát. Bánh pizza to tươi 8 miếng lận. Mình gọi nước suối evien 160km . gọi 1 ly triple berry nữa. Ko gian bên trong rất sang trọng. Nv chu đáo. Lúc đầu tưởng mình là ng nước ngoài nên nói tiếng anh với mình. Xong mình nói mình là ngườistar star star thì bạn ấy xin lỗi mình rồi giải thích . nói chung mình thấy nv rất chu đáo.,4_all-topic.txt,4457,0,0,0,0,0,0
4421,"Mình mới giặt sấy ở cửa hàng Laundromat TTV này vừa nhanh, vừa sạch, giá lại rẻ, nhân viên lại thân thiện. Nói chung rất hài lòng",4_all-topic.txt,4458,0,0,0,0,0,0
4422,Bó hoa được tặng kèm sticker nhỏ kẹo vào bó hoa . Khách đưa ra yêu cầu Sunflower thực hiện hoá yêu cầu của khách !!!,4_all-topic.txt,4459,0,0,0,0,0,0
4423,"Chuẩn bị đi ĐL lại xuất hiện quán này nữa, năm rồi ghé ăn, ăn 2 ng nên thấy rất mắc, gọi 1 phần thịt kho, canh chua và 2 niêu cơm trắng gần 400k Thịt kho khá mặn, canh chua thì nấu cá lóc đông lạnh mà còn bị sống nữa, rau cũng sống Nhận viên thì tiếp khách như kiểu khinh bỉ ak, không bao giờ quay lại lun haiz",4_all-topic.txt,4460,0,0,0,0,0,0
4424,"Địa điểm mặt đường Phùng Hưng Hà đông, dễ tìm, nhưng ở xa trung tâm Không gian rộng, thoáng, trang trí khá đẹp, không quá sang trọng Phục vụ nhanh nhẹn, nhiệt tình Chất lượng món ăn ngon, vị đậm đa vừa phải, nhưng bày trí bình thường, không mấy đặc sắc đẹp mắt Phù hợp cho tiệc gia đình, công ty, bạn bè",4_all-topic.txt,4461,0,0,0,0,0,0
4425,"Nếu đã chán với sự đông đúc chật chội của thành phố thì chịu khó đi xa 1 chút, phía sau núi Quyết có 1 nhà hàng du thuyền đầy thơ mộng, view hướng ra sông, núi. Còn có nhà hàng trên du thuyền phục vụ nghe ví dặm. Đồ ăn ở đây thiên về các loại hải sản tươi sống.",4_all-topic.txt,4462,0,0,0,0,0,0
4426,"Thuê xe máy ngay tại nhà nghỉ rồi đi hết 1 vòng nguyên đảo và chấm bãi này nhất nên cả nhà dắt nhau ra đây tắm biển. Nếu không tắm thì ngồi trên ăn hải sản tươi sống giá cũng phải chăng mà cực kì ngon luôn ăn mực nướng bao ghiền cứ muốn ăn hoài luôn ghẹ thì ngọt ăn thích lắm. Nước dừa 25k hơi bị mắc luôn, mà uống thấy không thích bằng dừa ở thành phố. Bị cái là ngồi ăn 1 hồi ong bu lại 1 đống bỏ của chạy lấy người luôn",4_all-topic.txt,4463,0,0,0,0,0,0
4427,Địa điểm vui chơi giải trí lý tưởng cho các cháu nhà mình vào cuối tuần đây. Một vé thôi là vô chơi thoải mái đủ trò. Thoả sức lựa chọn. Thấy tụi nhỏ chơi mà nhớ tuổi thơ ghê luôn. Mấy bé nhân viên ở đây cũng dễ thương nhiệt tình chơi và giữ bé canh chừng rất tốt. Giúp dỡ cho phụ huynh tận tình.,4_all-topic.txt,4464,0,0,0,0,0,0
4428,"Nghe nói có đặt chỗ, nhưng mình chưa thử. Chạy vô siêu thị thấy có rửa xe nên chạy lên luôn. Tiệm nằm hơi khuất nhưng đường vào cũng dễ. Tính rửa xe thôi mà thấy có thay nhớt nên thay luôn. Giá nhớt cũng ngang ngang với giá mấy chỗ gần nhà mình hay thay, có rửa xe thì giá cao hơn một chút, nhưng rửa cũng sạch nên cũng ok. Làm xong có gửi tin nhắn thông báo đang để xe chỗ nào trong bãi.",4_all-topic.txt,4465,0,0,0,0,0,0
4429,Khu di tích rất rộng và dốc . Nhiều bậc thang thoai thoải đi lên. Nơi du lịch tâm linh lâu đời của Hà Tiên. Sắp kỉ niệm 300 năm ngày họ Mạc về chỗ này cai quả n.,4_all-topic.txt,4466,0,0,0,0,0,0
4430,"Quán có view đẹp , đồ uống đa dạng có cả đồ ăn sáng nè, giá cả hợp lí. Có mấy chú cún thân thiện nữa nha. Có dịp lần sau mình sẽ rủ cả đám bạn lên cho tụi nó sống ảo nữa",4_all-topic.txt,4467,0,0,0,0,0,0
4431,". Đồ ăn món ăn phong phú đa dạng . Giá cả rẻ hợp túi tiền học sinh sinh viên . chất lượng ngon miệng, thích hợp ăn vặt . dịch vụ nhân viên niềm nở, bà chủ vui tính . Địa điểm mùa hè mát mẻ, chỗ đậu xe thoải mái, sạch sẽ, gần hồ nên chiều tối thích hợp hóng gió nói chuyện Điểm 9/10 có thể ngồi ngoài gần hồ hoặc trong nhà đều được",4_all-topic.txt,4468,0,0,0,0,0,0
4432,"Hôm bữa được đi dự tiệc ở đây. Khách sạn 4 sao có 22 tầng sang chảnh lắm ấy, nằm ở khu đảo xanh nên hơi xa một tý. Tiệc buffet ở đây chất lượng lắm luôn. Toàn những món Âu hấp dẫn lắm nhé. Món gì mình cũng thích đặc biệt là bò hầm thơm phức thịt mềm ngọt tuyệt vời ông mặt trời. Được Ăn ngon checkin sang chảnh thì quá đúng ý mấy anh chị rồi đúng không.",4_all-topic.txt,4469,0,0,0,0,0,0
4433,"Khách sạn này rất sang trọng đúng chuẩn 5star , phòng ngủ thì rất đẹp và được trang bị đầy đủ tiện nghi, nói chung là rất thoải mái. Khách sạn nằm gần siêu thị BigC, công viên Hoàng Văn Thụ có thể mua sắm, dạo bộ vào buổi sáng. Nhân viên phục vụ ở đây thân thiện và nhiệt tình.",4_all-topic.txt,4470,0,0,0,0,0,0
4434,Hài lòng về cả đồ ăn lẫn phục vụ Đồ ăn hơi ngọt chút nhưng mình nghĩ như vậy là đã giản ngọt so với món đúng rồi Chân gà siêu ngon Mặc dù nhà mình ăn buffer nhưng nhân viên cứ liên tục mời gọi hết mọn nọ đến món kia. Cuối cùng gọi gần hết quyển menu D Tuy đắt nhưng không thấy xót Tiết kiệm tiền qua lại đây lần nữa,4_all-topic.txt,4471,0,0,0,0,0,0
4435,"Mì trộn rất rẻ, có 15k 1 bát mà hơi bị nhiều luôn. Mùi mì tôm hảo hảo thơm nước sốt đậm đà ăn 1 lần là nghiện rồi. Quán này chắc là ngon bổ rẻ nhất thành phố rồi đấy. Mà dì làm cũng sạch sẽ lắm, lại còn rất nhiệt tình, mình đến ăn mì mà cứ hỏi han trò chuyện các kiểu mỗi tội quán hơi xa nhà nên ít khi đến được",4_all-topic.txt,4472,0,0,0,0,0,0
