,text,location,id,giai_tri,luu_tru,nha_hang,an_uong,van_chuyen,mua_sam
3634,"khách sạn ở quá xa trung tâm, cách hơn chục km để đi vào trung tâm Dương Đông để ăn uống thăm quan. mỗi lần đi taxi,mất gần 500k cho cả đi lần về",2_khachsan.txt,3665,0,0,0,0,0,0
3635,"Mình muốn tạo bất ngờ cho vợ nên nhờ các bạn setup phòng tình nhân thật sự các bạn đã làm cho vc mình bất ngờ, vợ mình đã rất vui. Cảm ơn các bạn Raon",2_khachsan.txt,3666,0,0,0,0,0,0
3636,"Chỗ ở sạch sẽ, gần chợ đêm và các món ăn nổi tiếng",2_khachsan.txt,3667,0,0,0,0,0,0
3637,"Definitely best resort on Phu Quoc. Nice staff, đẹp tuyệt vời garden, clean beach... Perfect !",2_khachsan.txt,3668,0,0,0,0,0,0
3638,"Chỗ nghỉ tuyệt vời ở Đà Lạt, vị trí, service, phòng ốc đều ổn.",2_khachsan.txt,3669,0,0,0,0,0,0
3639,"Lễ Tân, phục vụ thân thiện, biển sạch đẹp, yên tĩnh. Phòng ốc mới, thơm, sạch. Ăn uống ngon",2_khachsan.txt,3670,0,0,0,0,0,0
3640,"Nhân viên nhiệt tình, thân thiện. Có buffet sáng lần sau mình sẽ ghé lại",2_khachsan.txt,3671,0,0,0,0,0,0
3641,"Gia đình mình đã có 1 trải nghiệm tuyệt vời ở Novotel. Bạn lễ tân dễ thương, nhiệt tình. Phòng rộng, sạch, tiện nghi. Biển rất sạch vì có nhân viên thường xuyên đi dọn rác trên bãi biển, hồ bơi đẹp, nước ấm. Mùa này sen nở đẹp lắm, không gian ngập tràn cây xanh, gần gũi với thiên nhiên. Rất phù hợp cho gđ có trẻ nhỏ. Chắc chắn sẽ quay lại nếu có dịp.",2_khachsan.txt,3672,0,0,0,0,0,0
3642,"Không gian yên tĩnh, xanh hoá tốt, hồ bơi đẹp, nước hồ bơi rất sạch nên em bé nhà mình không bị dị ứng da, đồ ăn ở nhà hàng the Islander khá ngon, giá cả hợp lý. Di chuyển đến các khu vui chơi của Vin rất gần. Các bạn nhân viên rất nhiệt tình và dễ thương.",2_khachsan.txt,3673,0,0,0,0,0,0
3643,"rất hài lòng với Home. nhân viên rất dể thương. phòng rất thoải mái, giá tiền phù hợp. địa điểm thuận tiện. nói chung không có gì để chê cả. sẽ ghé lại lần sau",2_khachsan.txt,3674,0,0,0,0,0,0
3644,chỗ nghỉ vị trí trung tâm. rất thuận tiện đi lại. phòng rộng. nhân viên nhiệt tình và vui vẻ,2_khachsan.txt,3675,0,0,0,0,0,0
3645,"đồ ăn ngon, phòng đẹp, tiện nghi, cảnh đẹp, nhiều mảng xanh",2_khachsan.txt,3676,0,0,0,0,0,0
3646,"Phòng hiện đại, tiện nghi, sạch sẽ, gần chợ đêm, nhân viên nhiệt tình vui vẻ",2_khachsan.txt,3677,0,0,0,0,0,0
3647,"Đầy đủ tiện nghi, nhân viên niềm nở, vị trí trung tâm, nhận phòng sớm khi có phòng sẵn, phòng sạch sẽ, mới xây.",2_khachsan.txt,3678,0,0,0,0,0,0
3648,"Nhân viên hữu ích, view thoáng, có vị trí nướng BBQ hợp lý",2_khachsan.txt,3679,0,0,0,0,0,0
3649,Break nhanh quá s tốt with a variety of choices. Staff rất kind and smiling. Felt homely. Airport shuttle quá s tốt and thời gian ly.,2_khachsan.txt,3680,0,0,0,0,0,0
3650,"Phòng nghỉ sạch sẽ, đi bộ ra biển rất gần, bãi biển riêng sạch, đẹp. Bể bơi to sạch. Buffe sáng ngon, nhiều món.",2_khachsan.txt,3681,0,0,0,0,0,0
3651,"Gia đình a chủ khá nhiệt tình, khách sạn trang trí đẹp. Cực thích hệ thống đèn với Sảnh khách sạn. Vị trí cũng rất ổn, gần đấy toàn bán đồ ăn, chạy tí ra đầu đường là tới Phan Đình Phùng, đường ăn chơi giới trẻ Giá thuê xe ở ks cũng rất hợp lý nhé.",2_khachsan.txt,3682,0,0,0,0,0,0
3652,"view quá đẹp, phòng sạch sẽ, cô chủ và nhân viên cực dễ thương",2_khachsan.txt,3683,0,0,0,0,0,0
3653,Bữa sáng đủ năng lượng. Resort nằm hơi sâu một chút nhưng bù lại rất yên tĩnh và không khí trong lành. Dịch vụ rất tốt.,2_khachsan.txt,3684,0,0,0,0,0,0
3654,We hadn’t had hot quá ter during day thời gian s,2_khachsan.txt,3685,0,0,0,0,0,0
3655,"everything quá s gì ust amazing! lovely staff, đẹp tuyệt vời views and amazing atmo sản phẩm here",2_khachsan.txt,3686,0,0,0,0,0,0
3656,"Resort đẹp, phòng view biển rất thích, đồ ăn sáng ngon, nhân viên rất nhiệt tình. Lần sau đi vẫn muốn ở ở đây",2_khachsan.txt,3687,0,0,0,0,0,0
3657,Điểm cộng là có nhân viên y tế hỗ trợ cho Khách lưu trú,2_khachsan.txt,3688,0,0,0,0,0,0
3658,"Khách sạn sạch, bãi biển đẹp, nhân viên phục vụ tốt",2_khachsan.txt,3689,0,0,0,0,0,0
3659,"Các chị chủ nhà rất là nhiệt tình, vui vẻ. Địa điểm gần khu ăn uống nên khá tiện.",2_khachsan.txt,3690,0,0,0,0,0,0
3660,"Bữa sáng ngon, nhiều lựa chọn. Địa điểm hơi xa so với các điểm thăm quan",2_khachsan.txt,3691,0,0,0,0,0,0
3661,"phòng mình ở hơi nhỏ nhưng bù lại rất sạch sẽ, cô chủ dễ thương nói chuyện nhỏ nhẹ",2_khachsan.txt,3693,0,0,0,0,0,0
3662,"Ks trung tâm thành phố, phòng dễ thương, đầy đủ các tiện ích. Chủ nhà nhiệt tình chu đáo, anh Bin lễ tân siêu dễ thương, lần sau ghé đà lạt vẫn sẽ quay trở lại",2_khachsan.txt,3694,0,0,0,0,0,0
3663,"Vị trí gần chợ đêm, có dịch vụ cho thuê xe máy. Chị chủ dễ thương nhiệt tình, giá ổn so với tầm.",2_khachsan.txt,3695,0,0,0,0,0,0
3664,Phù hợp với nhóm bạn. Phòng khá sạch sẽ. Chị chủ dễ thương.,2_khachsan.txt,3696,0,0,0,0,0,0
3665,"Phòng nghỉ đẹp, sạch sẽ, nội thất xinh, vị trí gần trung tâm rất thuận tiện. Khách sạn cho check in sớm và lúc về bọn mình check out muộn chút cũng không bị tính thêm phí.",2_khachsan.txt,3697,0,0,0,0,0,0
3666,"Gần trung tâm nên thuận tiện cho việc đi lại, ăn uống. Phòng sạch sẽ, thoải mái. Lễ tân dễ thương.",2_khachsan.txt,3698,0,0,0,0,0,0
3667,Suite nhìn ra biển có tầm nhìn đẹp Decor phòng và lối đi hiện đại,2_khachsan.txt,3699,0,0,0,0,0,0
3668,"Mới đầu xem hình thấy đẹp. Lại thì được sảnh đẹp, phòng tệ lắm nha mng.",2_khachsan.txt,3700,0,0,0,0,0,0
3669,"Anh quả n lý người nước ngoài rất thân thiện và chú ý tới cảm nhận của khách, lập tức hỗ trợ xử lý ngay những phát sinh. Tiếc là đi vào đúng thời điểm dịch bùng phát nên không có điều kiện tận hưởng mọi dịch vụ của resort. Dù sao cũng cảm ơn, địa điểm đẹp, vị trí thuận tiện, phòng sạch, nhân viên dễ chịu. Tks!",2_khachsan.txt,3701,0,0,0,0,0,0
3670,"Vị trí khách sạn gần, tiện đi lại. Nhân viên nhiệt tình, dễ thương.",2_khachsan.txt,3702,0,0,0,0,0,0
3671,"Phong sach se. Ban chu rat nhiet tinh, chu dao. Se quay lai lan toi neu ra Phu Quoc.",2_khachsan.txt,3703,0,0,0,0,0,0
3672,"Mới xây, vị trí tốt. FO thân thiện. Phòng rộng rãi, giá tốt, phù hợp các bạn trẻ đi du lịch bụi. Có view, nhà vệ sinh sạch sẽ.",2_khachsan.txt,3704,0,0,0,0,0,0
3673,"Phòng sạch, nhân viên thân thiện, hỗ trợ tận tình, nhanh chóng",2_khachsan.txt,3705,0,0,0,0,0,0
3674,"Không gian resort rất đẹp và thiên nhiên, thiết kế đẹp tuyệt vời từ việc bố trí mặt bằng tới các phòng nghỉ, nhà đón tiếp, nhà ăn, bể bơi... nhân viên nhiệt tình, chu đáo. Buffet sáng món ăn ngon và khá đa dạng.",2_khachsan.txt,3706,0,0,0,0,0,0
3675,"phòng ngủ sạch , đẹp , nhân viên lễ tân nhiệt tình , lễ phép, nhân viên bảo vệ cũng thân thiện",2_khachsan.txt,3707,0,0,0,0,0,0
3676,"nhân viên nhiệt tình, bảo vệ rất thân thiện, nước nóng mạnh và rất ổn",2_khachsan.txt,3708,0,0,0,0,0,0
3677,"Nhân viên rất nhiệt tình , không gian trong lành và thư giãn. Nếu được mình có thể ở đây cả tuần và tập thể dục khoẻ người .",2_khachsan.txt,3709,0,0,0,0,0,0
3678,"Khách sạn mới, phòng sạch sẽ, thoáng. Nhân viên nhiệt tình, dễ mến. Có xe cho thuê nên di chuyển cũng thuận tiện. Giá cả phải chăng.",2_khachsan.txt,3710,0,0,0,0,0,0
3679,"Nhân viên nhiệt tình, phong cách hiện đại. Phòng ban công view phố đẹp, phòng mới sạch sẽ.",2_khachsan.txt,3711,0,0,0,0,0,0
3680,"Nhân viên ks nhiệt tình, thân thiện. Phòng rộng rãi, sạch sẽ, view thoáng mát. Bể bơi lớn, bãi biển sạch đẹp, sóng hơi lớn xíu. Bữa sáng rất nhiều lựa chọn, đặc biệt cf rất ngon .",2_khachsan.txt,3712,0,0,0,0,0,0
