,text,location,id,giai_tri,luu_tru,nha_hang,an_uong,van_chuyen,mua_sam
11274,Một chuyến đi thật tuyệt vời và học được nhiều điều bổ ích và hay ho ở đất nước hiện đại này. Cám ơn Traveloka đã có nhiều khuyến mãi để giúp mình có chuyến đi siêu tiết kiệm.,3_vanchuyen.txt,11326,0,0,0,0,0,0
11275,Xe thoải mái. Đến lúc đêm nhưng lái xe không để khách nghỉ một chút đến sáng. Hơi vất vả.,3_vanchuyen.txt,11327,0,0,0,0,0,0
11276,Thẻ tiện lợi dễ sử dụng và dễ đổi ở sân bay.,3_vanchuyen.txt,11328,0,0,0,0,0,0
11277,"Mình không dùng visa thanh toán mà chọn thanh toán payoo ở cửa hàng tiện lợi. Có mặt trước 30 để đổi vé, hình như ra ngoài đó mua luôn cũng được, đặt trước trên traveloka cũng không tối ưu lắm. Khách được yêu cầu đeo khẩu trang trước khi lên tàu, Buổi sáng tháng 11 nên ngồi bên trái tàu để tránh nắng, có máy lạnh trên tàu, có thể ngồi ở ngoài.",3_vanchuyen.txt,11329,0,0,0,0,0,0
11278,Mua vé của travel phải in ra vé mới được đi tàu.,3_vanchuyen.txt,11330,0,0,0,0,0,0
11279,Mình đi 4 đêm 4 ngày. Lúc mới nhận thẻ chỉ nạp thêm 10 SGD. Vì nghĩ đi không hết. Nhưng không ngờ mình đi bộ đi tàu di chuyển như người bản địa. Nhờ vậy mà đến buổi tối ngày thứ 3 là trong thẻ không đủ tiền đi nữa. Mà giờ nạp thêm vào thẻ thì phải nạp tối thiểu 10 SGD. Mà qua mai mình về rồi thì tiếc. Mà mua vé đi một lần cũng mắc. Các bạn tính trước rồi nạp lần 10 SGD 15 SGD cho đỡ tốn như mình nha.,3_vanchuyen.txt,11331,0,0,0,0,0,0
11280,Chuyến đi khá thoải mái. Xe đến ngay khu trung tâm Sapa.,3_vanchuyen.txt,11332,0,0,0,0,0,0
11281,Xe hơi chật và có mùi ẩm. Lái xe và lơ xe phục vụ tốt.,3_vanchuyen.txt,11333,0,0,0,0,0,0
11282,"Thẻ EZ Link rất tiện lợi. Lấy hành lý xong đi ra ngoài sảnh thấy quầy Changi Recommend để lấy thẻ luôn. Top up 10 đô mà đi 3 ngày mới hết mình đi lại siêu nhiều luôn . Sau đó lại top up thêm 10 đô để đi Sentosa ngày cuối, đến lúc về nước rồi vẫn còn 6 đô.",3_vanchuyen.txt,11334,0,0,0,0,0,0
11283,"Redeem thẻ rất dễ dàng, booth đổi thẻ cũng rất dễ tìm kiếm.",3_vanchuyen.txt,11335,0,0,0,0,0,0
11284,"Dịch vụ hỗ trơ tốt, mình mua vé cabin nhưng vì giờ đi hơi trễ nên đã chuyển chuyến khác cũng tốt.",3_vanchuyen.txt,11336,0,0,0,0,0,0
11285,Trải nghiệm tuyệt vời ở Singapore mọi thứ đều nhanh chóng.,3_vanchuyen.txt,11337,0,0,0,0,0,0
11286,"Thẻ dễ đổi, dùng rất thuận tiện khi đi bus, MRT.",3_vanchuyen.txt,11338,0,0,0,0,0,0
11287,"Trải nghiệm ban đầu tệ khi mang phiếu mua đổi vé thì bị báo hết giờ, phải đổi lịch. 1 vé 15k thì đây là trải nghiệm giá rẻ, nhưng cũng rất vui. Có điều nâng cấp lên, ví dụ thêm ghế bên ngoài, mở quầy bán, nâng cấp ghế ngồi, vé đắt hơn thì tốt.",3_vanchuyen.txt,11339,0,0,0,0,0,0
11288,Tư vấn khách hàng nhiệt tình. Cảm ơn Traveloka và hãng xe!,3_vanchuyen.txt,11340,0,0,0,0,0,0
11289,"Mình thấy đi tàu nhanh, không bị say tàu. Các bạn nhân viên tận tình dễ thương. Tuy nhiên ở ga Vũng Tàu chỗ chờ tàu khá nắng, ít mái che làm trải nghiệm bị kém đi một chút. Mong chú ý thêm về ga tàu.",3_vanchuyen.txt,11341,0,0,0,0,0,0
11290,"Đặt vé xe cabin qua Traveloka là một quyết định sáng suốt, Interbus Lines tự động nhắn tin cho mình và tự in vé, chỉ cần đến đúng giờ trong tin nhắn là có thể lên xe. Xe sắp xếp chỗ cũng hợp lý, lúc đi mình được cabin ở cuối xe nhưng lúc về được cabin ở giữa xe. Do không chụp hình xe nên mình đăng hình quán ăn ngay tại văn phòng của Interbus Lines tại sapa, mình chọn ăn trưa ở đây xong rồi đón xe về. Món phở rất ngon nhé.",3_vanchuyen.txt,11342,0,0,0,0,0,0
11291,"Ghế ngồi không điều chỉnh được , với người dễ say xe thi nằm như vậy rất khó chịu. Không có cửa sổ bên hông nên tạo cảm giác gò bó.",3_vanchuyen.txt,11343,0,0,0,0,0,0
11292,Thẻ tiện lợi để di chuyển bằng các phương tiện công cộng tại Singapore.,3_vanchuyen.txt,11344,0,0,0,0,0,0
11293,chọn giờ đi 20 15 cuối tuần sẽ có cầu rồng phun lửa và nước.. chứ nếu đi vòng vòng thì không có gì hay lắm..khoảng 20 0 mới khởi hành. được 1 chai nước suối nhỏ và đĩa trái cây cho 3 người.,3_vanchuyen.txt,11345,0,0,0,0,0,0
11294,Rất thuận tiện di chuyển! Là người bạn trong chuyến du lịch tự túc của bạn!,3_vanchuyen.txt,11346,0,0,0,0,0,0
11295,"Rất đáng để trải nghiệm, nên đi chuyến Bạch Đằng Thanh Đa nếu không muốn đi khứ hồi 20phút .",3_vanchuyen.txt,11347,0,0,0,0,0,0
11296,bị quên đồ trạm cũ nhưng có nhân viên hỗ trợ tìm kiếm mang về giúp,3_vanchuyen.txt,11348,0,0,0,0,0,0
11297,Nếu bạn đi nhiều và ở 3 ngày nên mua vé trọn gói không giới hạn trong 3 ngày. Nếu đi ít và dài hơn và còn đi lại Singapore nhiều lần nên lựa chọn thẻ EZ Link như đầu tư tiền mở thẻ luôn. Một chặng bạn mất khoảng hơn 1 SGD nên thẻ bạn nạp thêm 10 SGD thì đi thoải mái 5 – 6 ngày. Tiền top up mất phí 80 xu/lần.,3_vanchuyen.txt,11349,0,0,0,0,0,0
11298,Tiện lợi và dễ dàng cho những người mới đến Sing.,3_vanchuyen.txt,11350,0,0,0,0,0,0
11299,"Đi tàu mát, xem được Đà Nẵng buổi đêm. Nên đi lúc 20h15 để xem cầu Rồng phun lửa",3_vanchuyen.txt,11351,0,0,0,0,0,0
11300,Rất đáng trải nghiệm. Đi xế chiều sẽ mát và đẹp hơn.,3_vanchuyen.txt,11352,0,0,0,0,0,0
11301,"Tàu chạy êm, đúng giờ. Có phục vụ nước lọc miễn phí. Nên đi để trải nghiệm.",3_vanchuyen.txt,11353,0,0,0,0,0,0
11302,"Tài xế lịch sự, hỗ trợ đón tại sân bay Nội Bài.",3_vanchuyen.txt,11354,0,0,0,0,0,0
11303,Nhà xe làm việc chuyên nghiệp. Luôn gọi điện hoặc nhắn tin trước một ngày báo khách thời gian ra xe. Suốt chuyến đi có dừng lại 3 – 4 lần cho khách vệ sinh. Đưa trả khách đúng giờ.,3_vanchuyen.txt,11355,0,0,0,0,0,0
11304,"Trải nghiệm thú vị, lần sau có đi Singapore sẽ mua thẻ này để di chuyển.",3_vanchuyen.txt,11356,0,0,0,0,0,0
11305,"Vô cùng tiện lợi, đi tàu điện ngầm tại Sing giá thành hợp lí. Đặc biệt có thể lấy lại tiền sau khi không dùng thẻ nữa nhưng rất hay là vẫn có thể giữ thẻ làm kỉ niệm.",3_vanchuyen.txt,11357,0,0,0,0,0,0
11306,"Sạch, đẹp, quá tiện, hiện đại. Sẽ đi tiếp nếu có dịp.",3_vanchuyen.txt,11358,0,0,0,0,0,0
11307,Mình book vé bên Traveloka đã chuyển tiền và có mã đổi vé nhưng bên saigonbus gọi điện báo đã hết vé và kêu mình liên hệ Traveloka để giải quyết vì đã phản hồi tình trạng hết vé cho bên đại lý từ ngày hôm trước. Mình có liên hệ lại Traveloka nhưng không nhận được phản hồi.,3_vanchuyen.txt,11359,0,0,0,0,0,0
11308,Trời mua tầm tả nên không đi tham quan trên sông được mà tiền lại bị thu trước không hoàn đổi được nên rất buồn.,3_vanchuyen.txt,11360,0,0,0,0,0,0
11309,Chỗ lấy thẻ nếu không chú ý từ đầu sẽ dễ bị lỡ.,3_vanchuyen.txt,11361,0,0,0,0,0,0
11310,"Nhân viên thân thiện, nhiệt tình. mọi thứ hoàn hảo. Mua được sale giá khá hời.",3_vanchuyen.txt,11362,0,0,0,0,0,0
11311,Thư giãn trên sông và ngắm cảnh thành phố từ đường sông Sài Gòn trên buýt đường sông.,3_vanchuyen.txt,11363,0,0,0,0,0,0
11312,Ra khỏi sân bay là thấy quầy đổi thẻ. Nhanh gọn lẹ.,3_vanchuyen.txt,11364,0,0,0,0,0,0
11313,"Xe sạch sẽ nhưng bí, chật. Lần sau sẽ đi Limousine!",3_vanchuyen.txt,11365,0,0,0,0,0,0
11314,"Xe hơi ồn vì máy thông báo tự động nói liên tục, đang ngủ là cứ bật quả ng cáo về dòng xe của họ, rất mệt, xe gầm thấp, chỗ nằm rộng nhưng chiều dài ngắn, chân mình phải thu lại.",3_vanchuyen.txt,11366,0,0,0,0,0,0
11315,Tiện lợi. Quầy nằm ngay vừa ra khỏi cửa sân bay.,3_vanchuyen.txt,11367,0,0,0,0,0,0
11316,Xe đẹp. Nhân viên dễ thương. Không gian riêng tư dành cho 2 người.,3_vanchuyen.txt,11368,0,0,0,0,0,0
11317,"Chuyến đi rất tuyệt vời, mọi thứ đều đúng với mô tả",3_vanchuyen.txt,11369,0,0,0,0,0,0
11318,"SIM dùng tốt, mình ít nghe gọi, chỉ dùng mạng 4G.",3_vanchuyen.txt,11370,0,0,0,0,0,0
11319,Thẻ hoạt động rất tốt. Có sẵn 5 SGD trong thẻ khi nhận được ở quầy Changi Recomend. Quầy ở ngay lối ra ở Terminal 2 mình đến. Chỉ cần quét mã là nhận được. Sau đó mình nạp thêm 10 SGD rồi thêm 10 SGD nữa mà rốt cuộc dư hơn 7 SGD. Bạn nào có lịch trình đi Singapore 4N3Đ mà đi nhiều lắm như mình thì nên nạp thêm 15 SGD. Là tổng cộng 20 SGD cho chuyến đi nhe.,3_vanchuyen.txt,11371,0,0,0,0,0,0
11320,"Tầng trên thấp nên bị đụng đầu hoài, 2 giường nhưng lại chỉ có 1 cái mền, lạnh thật sự.",3_vanchuyen.txt,11372,0,0,0,0,0,0
11321,Mỗi hàng ghế có 3 ghế ngồi mà chỉ có 2 áo phao.,3_vanchuyen.txt,11373,0,0,0,0,0,0
11322,Mọi điều vô cùng thú vị. Ngay từ lúc bắt đầu nhận được EZ Link card từ khi đặt chân đến Changi. Tôi thực hiện trải nghiệm của mình thuận tiện.,3_vanchuyen.txt,11374,0,0,0,0,0,0
11323,"Đổi vé dễ nhé mọi người, nên nạp thêm SGD 10 20 tuỳ nhu cầu các bạn.",3_vanchuyen.txt,11375,0,0,0,0,0,0
11324,"Thẻ lấy nhanh, sử dụng tốt không gặp vấn đề gì.",3_vanchuyen.txt,11376,0,0,0,0,0,0
11325,Tiện lợi. Đi được tàu điện ngầm. Có thể thêm tiền vào thẻ tại trạm tàu điện ngầm hoặc các cửa hàng tiện lợi. Đổi thẻ tại cổng ga số 1.,3_vanchuyen.txt,11377,0,0,0,0,0,0
11326,Tất cả đều ổn trừ việc xe đi hơi sớm nên phải tập trung sớm hơn.,3_vanchuyen.txt,11378,0,0,0,0,0,0
11327,"Thẻ rất dễ dùng, chỉ cần thêm 20 SGD đã đủ đi khắp đất nước Singapore xinh đẹp rồi, lúc mình đi về còn tiền thừa vẫn ra quầy rút được tiền ra để tiêu nhé, cực kì tiện lợi ạ.",3_vanchuyen.txt,11379,0,0,0,0,0,0
11328,"Traveloka không cập nhập tình trạng vé, vé đã hết nhưng vẫn mở bán trên traveloka. Các bạn nhân viên bên quá terbus đã rất nỗ lực hỗ trợ cho mình. Dịch vụ và nhân viên của quá terbus rất tốt!",3_vanchuyen.txt,11380,0,0,0,0,0,0
11329,"Chiều đi được cabin rất đẹp ổn, nhiều địa điểm đón. chiều về là giường đôi bình thường xếp gối đầu. xe đi chiều về rất xóc nên say.",3_vanchuyen.txt,11381,0,0,0,0,0,0
11330,"Nên mua thẻ 20 SGD đi cho thoải mái, nếu mọi người sử dụng MRT di chuyển là chủ yếu.",3_vanchuyen.txt,11382,0,0,0,0,0,0
11331,Thẻ dùng rất tiện. Nạp thêm 20 SGD là có thể vivu khắp thành phố. Trải nghiệm tuyệt vời. Đi MRT rất dễ.,3_vanchuyen.txt,11383,0,0,0,0,0,0
11332,"Trải nghiệm mới lạ tại Đà Nẵng, được 1 người bạn ở Đà Nẵng giới thiệu. Thật sự thú vị. Tôi cũng khuyên bạn Nếu đi vào thứ bảy hay chủ nhật, nên chọn khung giờ rồng phun lửa 21h 21h15 Kinh nghiệm là nên checkin trước từ 30 phút, vừa có thời gian chụp ảnh mà lại có thời gian chuẩn bị các thủ tục hải quan lên tàu.",3_vanchuyen.txt,11384,0,0,0,0,0,0
11333,"Một mã thẻ bị lỗi và không tồn tại nên không thể đổi được thẻ và phải tốn thêm 10 SGD để mua thẻ mới, rắc rối mà xong phí tiền.",3_vanchuyen.txt,11385,0,0,0,0,0,0
11334,"Hơi ồn, hơi nóng do không gió không máy lạnh và trời âm u, không là quá tuyệt vời rồi.",3_vanchuyen.txt,11386,0,0,0,0,0,0
11335,Chúng tôi đã có những trải nghiệm rất tuyệt vời! Cảm ơn Traveloka!,3_vanchuyen.txt,11387,0,0,0,0,0,0
11336,Xe hẹn xuất phát lúc 1 0 mà tới 2 15 mới chạy. Chờ đợi không phải là hạnh phúc lắm đâu.,3_vanchuyen.txt,11388,0,0,0,0,0,0
11337,Mình bị f1 không đi được nhưng được hoàn tiền. Ok.,3_vanchuyen.txt,11389,0,0,0,0,0,0
11338,Đi 1 lần cho biết chứ cũng không có gì đặc sắc.,3_vanchuyen.txt,11390,0,0,0,0,0,0
11339,"Nhiều trải nghiệm tốt, xe êm, nhân viên tài xế và lấy vé đều dễ thương.",3_vanchuyen.txt,11391,0,0,0,0,0,0
11340,"Tuyệt vời, tàu chạy êm, phục vụ bánh và nước ngọt miễn phí trên tàu.",3_vanchuyen.txt,11392,0,0,0,0,0,0
11341,"Có thẻ EZ Link trong tay có thể đi khắp Singapore. Di chuyển tiện lợi dễ dàng, tàu điện ngầm sạch sẽ và nhanh chóng. Chờ khoảng 2 đến 3 phút sẽ có 1 chuyến tàu. Bản đồ hướng dẫn đi MRT cũng rất dễ hiểu.",3_vanchuyen.txt,11393,0,0,0,0,0,0
11342,"Thẻ sử dụng dễ và tiện, rất thích hợp để đi du lịch tự túc.",3_vanchuyen.txt,11394,0,0,0,0,0,0
11343,Nhìn chung trải nghiệm đi bằng tàu cao tốc tới Vũng Tàu cũng khá thú vị so với đi xe máy hoặc xe khách bình thường. Nhìn chung khá thú vị và đáng để trải nghiệm thử.,3_vanchuyen.txt,11395,0,0,0,0,0,0
11344,"Trong thẻ có sẵn 5 SGD, mình chỉ cần nạp thêm 10 SGD nữa là đi thoải mái 3 ngày.",3_vanchuyen.txt,11396,0,0,0,0,0,0
11345,"Xe đi êm, dễ chịu, không say. Thủ tục nhanh gọn. Bác tài chỉ gọi xác nhận trước giờ đón 15 phút thôi, nên khi chờ hơi lo.",3_vanchuyen.txt,11397,0,0,0,0,0,0
11346,"Nhanh, gọn lẹ, thẻ đẹp, chỉ cần in bản cứng rồi đưa cho quầy để lấy thẻ, họ sẽ đề nghị giữ lại mã code đã in ra.",3_vanchuyen.txt,11398,0,0,0,0,0,0
11347,"Lúc mua vé có ghi rõ lên xuống bất kì bến nào giờ nào, chỉ cần đến trước giờ khởi hành 30 phút để đổi vé và tiến hành đặt thì traveloka có yêu cầu ghi rõ điểm lên và giờ tuy nhiên lúc đổi vé bạn nhân viên bảo vé này là vé lên và xuống tại điểm cuối, bạn ấy vẫn hỗ trợ cho mình chọn vì mình đến sớm và còn vé. Nếu đến muộn không biết có được vé như lúc ghi chú ko. Traveloka xem lại quá trình đặt vé nhé.",3_vanchuyen.txt,11399,0,0,0,0,0,0
11348,"Nnằm trong cabin nóng, điều hoát bật nhưng không mát chút nào, rất nhiều khách cùng chuyến đi phàn nàn về việc nóng toát mồ hôi mà điều hoà bật như không. Không có tai nghe, khăn ướt như mục hiện trên phần chi tiết khi đặt xe. 2 cổng sạc trong cabin đều không dùng được. Nói chung dịch vụ ở mức bình thường.",3_vanchuyen.txt,11400,0,0,0,0,0,0
11349,Đặt vé combo 2 giường đơn nhưng lúc check in thì là 1 giường đơn. Chờ xử lý mãi mới thành 2 giường.,3_vanchuyen.txt,11401,0,0,0,0,0,0
11350,Rất ấn tượng với MRT ở Singapore. Thẻ EZ Link dùng rất tiện để đi tàu điện MRT.,3_vanchuyen.txt,11402,0,0,0,0,0,0
11351,"Ra khỏi cửa hải quan đi thẳng ra ngoài là có thể nhận được thẻ ở quầy như hướng dẫn, có thể nạp tiền ở quầy trước khi vào MRT, rất đơn giản và tiện lợi.",3_vanchuyen.txt,11403,0,0,0,0,0,0
11352,Nhận thẻ nhanh chóng. Thẻ dùng được cho cả MRT và xe buýt.,3_vanchuyen.txt,11404,0,0,0,0,0,0
11353,"Mình rất hài lòng khi sử dụng dịch vụ tại Du thuyền Mỹ Xuân. Không gian trên tàu thoáng, đẹp, có chỗ check in. Nước uống ngon, giá cả hợp lý.",3_vanchuyen.txt,11405,0,0,0,0,0,0
11354,Ez link card rất dễ sử dụng. Top up ngay tại sân bay Changi để sử dụng các phương tiện công cộng một cách dễ dàng.,3_vanchuyen.txt,11406,0,0,0,0,0,0
11355,"Thẻ rất tiện lợi trong việc di chuyển tham quan Singapore bằng xe bus, tàu điện, chỉ việc nạp tiền và đi bất cứ nơi đâu bạn muốn.",3_vanchuyen.txt,11407,0,0,0,0,0,0
11356,"Gia đình tôi đã có chuyến trải nghiệm thú vị trên sông Hàn. Tôi đặt giờ từ 20 0 – 21 15 vào Thứ bảy. Đúng khung giờ Cầu Rồng phun lửa, phun nước. Đứng giữa sông xem toàn cảnh Cầu Rồng mới thấy được vẻ đẹp của nó. Ai đi Đà Nẵng thì nên trải nghiệm. Các thành viên trên thuyền rất dễ thương, gần gũi. Có nước và trái cây miễn phí cho khách.",3_vanchuyen.txt,11408,0,0,0,0,0,0
11357,"Lúc đầu mua vé giường đơn, dù đã nâng cấp lên giường đôi nhưng khi lên xe mới biết xe toàn giường đôi.",3_vanchuyen.txt,11409,0,0,0,0,0,0
11358,"Thoải mái, đúng giờ. Lúc đi mình có book hạng C nhưng bị nhầm sang hạng thường và khi phát hiện ra đã được nhân viên đổi qua cabin đôi siêu chất lượng.",3_vanchuyen.txt,11410,0,0,0,0,0,0
11359,"Xe đi hơi xóc, nằm cũng bình thường không quá thoả mái.",3_vanchuyen.txt,11411,0,0,0,0,0,0
11360,Vui và tốt. Hy vọng sẽ quay trở lại và thăm quan được nhiều hơn.,3_vanchuyen.txt,11412,0,0,0,0,0,0
