review,category,score,vui chơi,lưu trú,nhà hàng,ăn uống,vận chuyển,mua sắm
"Hồi xem hình Mia mình không quá thích đâu, cho đến khi đến ở thì mình hoàn toàn bị thuyết phục. Decor đơn giản nhưng tinh tế, chất liệu rất chắc chắn chứ không phải tạm bợ vờ vịt. Phục vụ thân thiện nhanh chóng, buFet sáng khá là ngon, đặc biệt LaTe pha uống rất thích luôn. Mức độ hài lòng khi ở đây phải được rate là 9 10 vì chấm 10 10 thì hơi lố . Mình đã từng ở qua nhiều resort cao cấp 5star , và khi ở Mia thì mình thấy hoàn toàn xứng đáng với mức giá 3tr4 đêm.",travel,8.8,0,5,0,0,0,0
"Nhân viên nhiệt tình và chu đáo ,, giá cả hợp lý,,,rất sạch sẽ và kỹ lưỡng gọn gàng mình thật sự rất thích 10 hết nhé",service,10.0,0,0,0,0,5,0
"Hôm nay 1 2 20, nhóm mình đi ăn 5 món. Món nào cũng tệ. đồ ăn mặn, không tươi, bẩn hình ảnh thái độ nhân viên lồi lõm, khi khách hàng phản hồi thì không ghi nhận mà thái độ khó chịu phục vụ chậm mặc dù quán rất ít khách. Không chỉ bàn mình mà 2 bàn bên cạnh cũng khó chịu bực bội. Sẽ không bao giờ quay lại lần thứ 2! cho 1 điểm vì bánh mì ngon!",foods,2.8,0,0,0,1,0,0
"Trước hay xem chỗ the garden, giờ phát hiện ra chỗ golden palace này nên cũng thử đi xem. Rạp rộng phết, có nhiều phòng, không gian cũng thoáng hơn bên the garden nhiều. Riêng chỗ quầy vé và chỗ mua đồ ăn vặt đã hơn hẳn rồi. Gía cả cũng khá mềm, đang có chương trình đổi mì tôm lấy vé cũng khá hay nữa.",entertain,7.8,0,0,0,0,0,0
"Mình mỗi lần đến cung văn hoá không thì đám cưới thì cũng là hội chợ thôi. Nhà mình cũng từng tổ chức đám cưới ở đây, có phòng tầng 1 và phòng trên tầng 2. Không gian đẹp, rộng rãi, lịch sự lắm. Hội chợ thường được tổ chức ngay dưới sảnh lớn tầng 1, không gian rộng lớn lắm, đi mỏi chân luôn Để xe trong sân 5k nhưng lộn xộn lắm Đây thực sự là một nơi phù hợp để thực hiện tổ chức đám cưới, thuận tiện và đẹp đẽ, lại còn gần nhà mình nữa chứ.",travel,7.6,0,0,4,0,0,4
"Hôm trước đi với con em mua ít đồ thấy quầy bánh mì ở đây có bán su kem nữa nên ăn thử. Cái này là bánh su kem phomai. Trang trí dễ thương dễ sợ luôn bánh vỏ dai dai y su kem singaporecuar chewy rứa đó. Nhân phomai như kiểu con bò cười, thơm thơm béo béo lại ngọt nhẹ rất thích luôn Sẽ quay lại mua su kem ở đây khi thèm",shop,8.8,0,0,0,5,0,0
"Đây là cơ sở 2 của KS Công Đoàn to chỗ cạnh bãi biển, hôm cả nhà mình về đây nên bOk ở đây vì cũng tiện đi lại và trong khu này khá đông vui, nhộn nhịp. Khách sạn bên ngoài to đẹp, bên trong sảnh rộng nhưng mình cảm giác hơi tối, và bàn ghế gỗ màu nâu tối nên phong cách bị già. Mình được xếp phòng view đẹp, ngắm thành phố biển lung linh phết, núi đồi cũng thấy luôn. Phòng decor cũng bình thường, khu vực giường sạch sẽ, cơ mà tivi màn hình dầy đời cổ. Trong phòng có cả ít đồ ăn vặt cho khách, tủ lạnh ở trong tủ tivi. Phòng tắm thì đủ các loại dụng cụ, cơ mà bị hỏng quạt thông gió, đắng lòng BuFet sáng ở đây thì siêu chán luôn, các món cực kì ít, chả có mấy sự lựa chọn. Bún gà thì hơi mặn, cơm rang, mì lại nguội, được trứng ốp la ngon thôi. Nhân viên khách sạn rất thân thiện, nhiệt tình. Giá cả hợp lý.",travel,7.0,0,3,0,2,0,0
"Có đến ăn tiệc với gia đình nhà bạn ở đây rồi nè, mình thích các món trung hoa ở đây. nhà hàng có không gian rất sang trọng, lịch sự, rộng lắm.",wedding,8.2,0,0,5,0,0,0
"Đến đây được 1 lần, mì cay 35k tô như bình thường, cũng không có gì nổi bật, nước mì không cay bằng những chỗ khác, có chút vị chua, giống mì chua cay hơn là mì cay. Trà sữa cũng không ngon lắm, tạm được thôi. Quán cũng dễ tìm, gần ngã tư, mặt tiền nhỏ nên dễ đi lướt qua. Không gian hơi chật, tầng trệt ngồi ghế và tầng 1 ngồi bệt có vách ngăn, có ghế ngồi ở ngoài trời vào buổi chiều, máy lạnh không mát. Chỗ để xe thì thoải mái vì để ở vỉa hè. Có bảo vệ trông xe và dắt xe, phục vụ ok.",foods,6.8,0,0,0,4,0,0
Dạo này tiêu tiền hơi nhiều cho ăn uống mà các quán đồ ăn nhanh có vẻ chất lượng không ổn lắm. Lần đầu tiên thấy bánh gà cỡ mini như vậy. Ăn cũng không thấy gà đâu luôn. Gà lắc phomai thì mặn. Gọi từng đấy thứ cho có tí ti đồ chấm. Chắc biết mặn nên không cần chấm Kéo lại duy nhất là khoai tây lắc phomai. Cùng lắc mà khoai không mặn. Mà khoai thì kiểu mua sẵn nên cũng ngon đi. Tóm lại giảm giá thì ăn lần này lần sau giảm cũng không ăn.,foods,6.8,0,0,0,3,0,0
