,text,label
0,"Nhìn lại diễn biến thị trường chứng khoán (TTCK) Việt Nam năm vừa qua, chỉ số VN-Index sau khi lao dốc về 660 điểm đã có cú hồi phục ngoạn mục để rồi kết thúc trên mức 1,100 điểm, đạt tỷ lệ tăng trưởng gần 15%",Neutral
3," Giá cổ phiếu BCC trên thị trường đang trong đà giảm từ khi tạo đỉnh hồi 28/09. Hết phiên sáng 30/10, cổ phiếu có giá 6,500 đồng/cp. ",Negative
6,"Trong khi đó, Nhiệt điện Cẩm Phả - TKV (UPCoM: NCP) thu hẹp phân nửa con số lỗ so cùng kỳ (xuống còn lỗ ròng gần 53 tỷ đồng) nhờ sản lượng cao hơn.  ",Positive
8,"Tính riêng trong năm Covid vừa qua, Coteccons đã chi gần 2.1 ngàn tỷ đồng để giảm các khoản phải trả. Nhờ dòng tiền dương trên ngàn tỷ đồng từ việc giảm được các khoản phải thu, dòng tiền kinh doanh của CTD ghi nhận âm 567 tỷ",Negative
9,"Nhiệt điện Phả Lại (HOSE: PPC) khiến cổ đông không khỏi lo lắng khi báo lãi ròng quý 3 giảm 53% so cùng kỳ, về mức 90 tỷ đồng. Công ty cho biết sản lượng điện quý 3 năm nay thấp hơn 273 triệu kWh; trong khi đó, chi phí nhiên liệu và chi phí sửa chữa lớn đều tăng. Hơn nữa, PPC còn trích lập dự phòng khoản đầu tư gần 9 tỷ đồng (trong khi quý 3 năm trước được hoàn nhập dự phòng các khoản đầu tư hơn 37 tỷ đồng)",Negative
11,"Dự thảo luật sửa đổi Luật Thuế 71 cũng đã được Bộ Tài chính trình Chính phủ, trong đó phân bón được thay đổi từ không chịu thuế GTGT sang chịu thuế GTGT 5%. Tuy nhiên, tại kỳ họp thứ 10, Quốc hội khóa XIV diễn ra trong tháng 11/2020 vẫn chưa thông qua Nghị quyết này. Song nhiều khả năng Nghị quyết này sẽ tiếp tục trình Quốc hội trong các kỳ họp năm 2021, sớm nhất là tại kỳ họp thứ nhất của Quốc hội khóa XV vào tháng 7/2021",Negative
13,"Như vậy, nhà đầu tư có thể mua vào từ từ DCM cho mục tiêu dài hạn ở mức giá dưới 16,500 đồng (chiết khấu khoảng 30% so với giá trị định giá)",Positive
16,"DLG: Cổ phiếu liên tục tăng trần dù bị nghi ngờ khả năng hoạt động liên tục
Tại thời điểm cuối năm 2020, CTCP Tập đoàn Đức Long Gia Lai (HOSE: DLG) chưa thanh toán hầu hết các khoản đi vay đã quá hạn trả cho các ngân hàng và trái chủ; tổng nợ phải trả ngắn hạn đã vượt giá trị tài sản ngắn hạn",Negative
18,"Chênh lệch giữa giá đầu vào và đầu ra thấp đã đẩy giá vốn hàng bán và dịch vụ cung cấp của BSR lên tới 60,183 tỷ đồng, dẫn tới lợi nhuận gộp của Công ty trong năm qua âm 2,224 tỷ đồng. Nhờ tiết giảm chi phí và quản trị hiệu quả nhiều hạng mục như thu nhập hoạt động tài chính đạt 169 tỷ đồng, tăng 40% so với năm trước, chi phí bán hàng giảm 22.7% và chi phí quản lý doanh nghiệp giảm mạnh 30,.8% so với năm trước, BSR mới có mức lợi nhuận âm 2,852 tỷ đồng, thấp hơn nhiều so với dự kiến ban đầu của Ban lãnh đạo Công ty. BSR đã bắt đầu có lãi trở lại từ quý 3/2020, chấm dứt trình trạng lỗ lũy kế liên tiếp hai quý. Với kết quả này, tính đến hết năm 2020, BSR không còn lỗ lũy kế",Positive
23,"Được biết, trong năm 2020 các doanh nghiệp phân bón được hưởng lợi từ giá dầu giảm,  giá khí đầu vào cũng giảm, giúp hạ thấp chi phí sản xuất. Khi mà tình hình dịch bệnh dần được kiểm soát, nhu cầu sản xuất và sinh hoạt khôi phục khiến giá dầu thế giới nói chung và ở Việt Nam nói riêng bắt đầu tăng trở lại. Có lẽ điều này đã làm các doanh nghiệp phân bón trở nên lo ngại về tương lai trong năm 2021 khi không còn lợi thế nguồn nguyên liệu đầu vào giá rẻ",Negative
24,"CTCP Xây dựng Coteccons (HOSE: CTD) vừa công bố tài liệu ĐHĐCĐ thường niên 2021 với tờ trình về kế hoạch doanh thu hơn 17.4 ngàn tỷ đồng và lãi sau thuế 340 tỷ đồng, tăng trưởng 20% và 2% so với kết quả năm 2020",Positive
25,"Ngành dược thể hiện tính “phòng thủ” trước Covid
Do tác động của dịch Covid-19, đa phần doanh nghiệp dược Việt Nam đều ghi nhận doanh thu sụt giảm trong năm 2020. Dù vậy, lợi nhuận toàn ngành vẫn có mức tăng trưởng dương 4.6%, thể hiện tính phòng thủ đặc trưng của mình. Covid-19, giá nguyên liệu đầu vào biến động, cạnh tranh gia tăng,… là những rủi ro mà doanh nghiệp dược phải đối đầu trong năm 2021",Positive
26,"Những điểm sáng trong bức tranh ngành dầu khí 
Bóng đen chực chờ với ngành dầu khí khi làn sóng dịch Covid-19 lần 2 bất ngờ ập tới vào tháng 7/2020, song song với giá dầu thế giới vẫn diễn biến phức tạp. Tuy nhiên, những tín hiệu tích cực đã dần trở lại vào cuối quý 3.  ",Positive
27,"Tiềm lực tài chính yếu ớt, xe ôm công nghệ của Mai Linh khó có thể đối đầu với Uber, Grab",Negative
28,KHP cho biết do tác động của dịch Covid-19 cùng với chính sách miễn/giảm tiền điện cho khách hàng sử dụng khiến doanh thu tiền điện 9 tháng đầu năm giảm hơn 539 tỷ đồng so cùng kỳ,Negative
29,"Cho năm 2020, Công ty đặt kế hoạch đi lùi với chỉ tiêu doanh thu 3,400 tỷ đồng và lãi sau thuế là 54 tỷ đồng, lần lượt giảm gần 30% và 70% so với năm trước. Như vậy, so với kế hoạch, ROS chỉ mới thực hiện được 53% chỉ tiêu doanh thu và 4% kế hoạch lợi nhuận 2020",Negative
32,"Về kết quả kinh doanh, trong năm 2020 CVT ghi nhận doanh thu thuần đạt 1,360 tỷ đồng, giảm 14% so với năm 2019 và lãi sau thuế cũng giảm 27%, xuống còn 121 tỷ đồng. Năm 2021, đơn vị này lên kế hoạch sẽ đem về 1,450 tỷ đồng doanh thu và 150 tỷ đồng lợi nhuận",Negative
34,"Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếu TDN của CTCP Than Đèo Nai - Vinacomin như sau:
1. Ngày đăng ký cuối cùng: 25/05/2020
2. Ngày giao dịch không hưởng quyền: 22/05/2020
3. Lý do và mục đích: 
     * Trả cổ tức bằng tiền mặt năm 2019
          - Tỷ lệ thực hiện: 10%/cổ phiếu (01 cổ phiếu được nhận 1.000 đồng)
          - Thời gian thực hiện: 10/06/2020
          - Địa điểm thực hiện: 
               + Chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức bằng tiền tại Công ty cổ phần Than Đèo Nai - Vinacomin vào các ngày làm việc trong tuần từ ngày 10/06/2020 và xuất trình Chứng minh nhân dân + Sổ chứng nhận sở hữu cổ phần.
               + Chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức bằng tiền tại các Thành viên lưu ký nơi mở tài khoản lưu ký chứng khoán.",Positive
37,"Trước đó, Đầu tư xây dựng Tuấn Lộc đăng ký thoái 20.9 triệu cp từ ngày 11/03 - 07/04/2021. Tuy nhiên, do biến động giá cổ phiếu và mức giá không đạt kỳ vọng nên chỉ thực hiện bán được 65,600 cp CC1",Negative
38,"Lũy kế cả năm 2020, BLF ghi nhận doanh thu thuần và lãi ròng lần lượt giảm 13% và 73% so với cùng kỳ, xuống còn 530 tỷ đồng và 1.3 tỷ đồng",Negative
39,"Suýt soát so với ABI, Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam (BIC) xếp vị trí thứ 3, ghi nhận lãi sau thuế gần 234 tỷ đồng (+27%) do doanh thu thuần hoạt động kinh doanh bảo hiểm (1,354 tỷ đồng) tăng 13%, cao hơn mức tăng 8% của chi phí kinh doanh bảo hiểm (985 tỷ đồng)",Positive
40,"Cả năm 2020, doanh thu thuần D2D đạt hơn 357 tỷ đồng, giảm 53%  và lãi hơn 268 tỷ đồng, giảm 27% so với năm trước. Dù vậy, khoản lãi này đã vượt hơn 50% kế hoạch mà Công ty đề ra",Negative
41,"Về tài chính, các hợp đồng tiền gửi có lãi suất tốt (trên 7%) từ cuối năm 2019 và đầu năm 2020 sẽ hết hạn vào cuối năm 2020 và đầu năm 2021. Các hợp đồng tái tục sẽ có lãi suất sụt giảm đáng kể. Lãi tiền gửi chiếm tỷ trọng chính trong lợi nhuận hoạt động đầu tư tài chính, do đó, lợi nhuận hoạt động đầu tư tài chính năm 2021 sẽ bị sụt giảm đáng kể so với 2020",Negative
42,"Tín hiệu kỹ thuật của HNX-Index
Trong phiên giao dịch buổi sáng ngày 30/03/2021, HNX-Index tiến lên test lại vùng kháng cự 280-285 điểm (ngưỡng Fibonacci Projection 61.8%). Tuy nhiên, lực bán xuất hiện tại đây đã làm cho chỉ số thu hẹp một phần sắc xanh trước đó",Neutral
44,"Kết thúc năm 2020, quy mô tài sản của BLI ở mức gần 2,273 tỷ đồng, tăng 14% so với đầu năm. Trong đó, giảm mạnh nhất là tiền và các khoản tương đương tiền (-28%)",Positive
45,"Các vị trí còn lại ghi nhận nhiều sự thay đổi. Chứng khoán VNDirect tăng 1 hạng lên vị trí thứ 2, đạt thị phần 8.56%. Trong khi đó, Chứng khoán SSI xếp ở vị trí thứ 3 với thị phần 6.76%",Positive
46,"Song hành cùng cổ phiếu SHB phải kể đến STB, khi khối lượng giao dịch của cổ phiếu này luôn dồi dào, bình quân có gần 35 triệu cp được giao dịch mỗi ngày trong tháng 3, tăng 53% so tháng 2",Positive
47,"Cổ phiếu liên tục tăng trần
Dù doanh nghiệp thua lỗ lịch sử song cổ phiếu DLG lại đang thể hiện bộ mặt cực kỳ tích cực trên thị trường chứng khoán. DLG đã có phiên tăng trần thứ 6 liên tiếp từ đầu tháng 4/2021 (02-09/04), tức tăng giá tới 48%. Trong phiên sáng 12/04, DLG lại tiếp tục mang sắc tím, leo lên 3,700 đồng/cp (9h30p).  ",Neutral
48,"Nợ phải trả cũng tăng 20% so với đầu năm, chiếm 70% tổng nguồn vốn, chủ yếu nằm ở phần dự phòng nghiệp vụ hơn 1,092 tỷ đồng (+23%), bao gồm dự phòng phí bảo hiểm gốc (691 tỷ đồng) và dự phòng bồi thường bảo hiểm gốc (327 tỷ đồng)",Neutral
49,"Ngày 31/03/2021, Sở Giao dịch Chứng khoán TP.HCM (SGDCK TP.HCM) đã nhận được Báo cáo tài chính (BCTC) kiểm toán năm 2020 của Công ty cổ phần Quốc tế Hoàng Gia (Mã chứng khoán: RIC). Theo đó, Lợi nhuận sau thuế (LNST) năm 2020 của Công ty là 
- 81,54 tỷ đồng và LNST chưa phân phối tại ngày 31/12/2020 là 
-309,83 tỷ đồng. Như vậy, căn cứ theo BCTC kiểm toán năm 2020 Công ty cổ phần Quốc tế Hoàng Gia vẫn chưa khắc phục được nguyên nhân dẫn đến việc cổ phiếu bị đưa vào diện kiểm soát. SGDCK TP.HCM
 tiếp tục giữ nguyên diện kiểm soát đối với cổ phiếu RIC. SGDCK TP.HCM sẽ xem xét hướng xử lý tiếp theo đối với cổ phiếu RIC căn cứ vào BCTC soát xét bán niên năm 2021 của Công ty.",Negative
